Mcavernosa04235-RA	Mcavernosa04235
Mcavernosa04241-RA	Mcavernosa04241
Mcavernosa04239-RA	Mcavernosa04239
Mcavernosa04243-RA	Mcavernosa04243
Mcavernosa04242-RA	Mcavernosa04242
Mcavernosa04238-RA	Mcavernosa04238
Mcavernosa04237-RA	Mcavernosa04237
Mcavernosa04236-RA	Mcavernosa04236
Mcavernosa04245-RA	Mcavernosa04245
Mcavernosa04249-RA	Mcavernosa04249
Mcavernosa04248-RA	Mcavernosa04248
Mcavernosa04247-RA	Mcavernosa04247
Mcavernosa04250-RA	Mcavernosa04250
Mcavernosa04246-RA	Mcavernosa04246
Mcavernosa04244-RA	Mcavernosa04244
Mcavernosa04252-RA	Mcavernosa04252
Mcavernosa04256-RA	Mcavernosa04256
Mcavernosa04255-RA	Mcavernosa04255
Mcavernosa04257-RA	Mcavernosa04257
Mcavernosa04253-RA	Mcavernosa04253
Mcavernosa04264-RA	Mcavernosa04264
Mcavernosa04265-RA	Mcavernosa04265
Mcavernosa04266-RA	Mcavernosa04266
Mcavernosa04263-RA	Mcavernosa04263
Mcavernosa04258-RA	Mcavernosa04258
Mcavernosa04262-RA	Mcavernosa04262
Mcavernosa04259-RA	Mcavernosa04259
Mcavernosa04260-RA	Mcavernosa04260
Mcavernosa04276-RA	Mcavernosa04276
Mcavernosa04280-RA	Mcavernosa04280
Mcavernosa04278-RA	Mcavernosa04278
Mcavernosa04270-RA	Mcavernosa04270
Mcavernosa04272-RA	Mcavernosa04272
Mcavernosa04267-RA	Mcavernosa04267
Mcavernosa04281-RA	Mcavernosa04281
Mcavernosa04279-RA	Mcavernosa04279
Mcavernosa04271-RA	Mcavernosa04271
Mcavernosa04282-RA	Mcavernosa04282
Mcavernosa04274-RA	Mcavernosa04274
Mcavernosa04290-RA	Mcavernosa04290
Mcavernosa04284-RA	Mcavernosa04284
Mcavernosa04283-RA	Mcavernosa04283
Mcavernosa04285-RA	Mcavernosa04285
Mcavernosa04289-RA	Mcavernosa04289
Mcavernosa04288-RA	Mcavernosa04288
Mcavernosa04287-RA	Mcavernosa04287
Mcavernosa04292-RA	Mcavernosa04292
Mcavernosa04294-RA	Mcavernosa04294
Mcavernosa04302-RA	Mcavernosa04302
Mcavernosa04297-RA	Mcavernosa04297
Mcavernosa04299-RA	Mcavernosa04299
Mcavernosa04298-RA	Mcavernosa04298
Mcavernosa04301-RA	Mcavernosa04301
Mcavernosa04310-RA	Mcavernosa04310
